Angulo1,Angulo2,Angulo3,Angulo4,Angulo5,TH1,TH2,TH3,TH4,TH5
-90,0,30,-60,30,1.08748728140454,0.673559197197247,0.221750191167332,0.100790353733102,0.00887000764669326
-90,0,30,-60,60,1.07654645251803,0.66588381404238,0.218277248952028,0.0994028367144781,0.00758851806699411
-90,0,30,-60,90,1.12189690126052,0.693380260397042,0.229500491051443,0.103025559829407,0.0138505790279076
-90,0,30,-30,-90,1.05307546586423,0.642841111552896,0.208204882959317,0.0887796043447865,0.0130009316773362
-90,0,30,-30,-60,1.00233838796293,0.611737731421468,0.200318095653429,0.0837007234154124,0.00972042470425226
-90,0,30,-30,-30,0.997074855897673,0.607677459843798,0.19831382130173,0.083327119073551,0.0092585687859501
-90,0,30,-30,0,1.05208439316622,0.642016481603257,0.208014493711073,0.0886245731746164,0.0131023771755767
-90,0,30,-30,30,1.01852391054953,0.622576029989493,0.200296909524191,0.0865124109020822,0.00801187638096766
-90,0,30,-30,60,1.01404165906248,0.61906138583633,0.198402657917813,0.0862522452320574,0.00745179478385651
-90,0,30,-30,90,1.05307546586423,0.642841111552896,0.208204882959317,0.0887796043447865,0.0130009316773362
-90,0,30,0,-90,1.65363748719754,1.02073452180451,0.314222167918333,0.187481850943686,0.0204152776197227
-90,0,30,0,-60,1.54775432816953,0.955134204909972,0.297446009124315,0.17543281314673,0.0160487938638606
-90,0,30,0,-30,1.53246675228074,0.943633839430669,0.292716727064298,0.173320501119919,0.0150481520205754
-90,0,30,0,0,1.64926947419743,1.01728445630374,0.31326879550242,0.186848165443544,0.0207609072715049
-90,0,30,0,30,1.59577700928798,0.986663719870186,0.301746587139401,0.181223948547585,0.0120698634855761
-90,0,30,0,60,1.58387409320353,0.977711328074193,0.297710807001934,0.179579631687097,0.0107290006020778
-90,0,30,0,90,1.65363748719754,1.02073452180451,0.314222167918333,0.187481850943686,0.0204152776197227
-90,0,30,30,-90,1.3647920368438,0.860824628815855,0.252904930674017,0.0910457750426461,0.0168492844054791
-90,0,30,30,-60,1.27993287243747,0.806933913404647,0.239899562596416,0.0863638425347098,0.0143490395837923
-90,0,30,30,-30,1.26183223169328,0.792763339733799,0.234641623446159,0.0844709844406172,0.0131943820779822
-90,0,30,30,0,1.35793828398224,0.855170607112143,0.251338504607691,0.0904818616587689,0.0174524613696356
-90,0,30,30,30,1.32945412295492,0.840397636647815,0.245454384547479,0.0883635784370923,0.00981817538189916
-90,0,30,30,60,1.31676494827649,0.830633734856056,0.241408436972869,0.0869070373102331,0.00806907640111008
-90,0,30,30,90,1.3647920368438,0.860824628815855,0.252904930674017,0.0910457750426461,0.0168492844054791
-90,0,30,60,-90,1.29228433767392,0.802978882466876,0.228863625403926,0.0732697083148638,0.0159541276256039
-90,0,30,60,-60,1.21109199252112,0.752466762159458,0.216904860936295,0.0693143637038325,0.0132807712287398
-90,0,30,60,-30,1.20121164140208,0.743753567058376,0.213563665940372,0.0692617990492546,0.0125870713995157
-90,0,30,60,0,1.28846462643205,0.799505613036915,0.227850002876592,0.0733488096257525,0.016316441082386
-90,0,30,60,30,1.25850029441661,0.783502248483589,0.22174637674872,0.0705401979263419,0.0088698550699488
-90,0,30,60,60,1.25151002226982,0.777384491259486,0.219160258902801,0.0703912158521572,0.00782124620579523
-90,0,30,60,90,1.29228433767392,0.802978882466876,0.228863625403926,0.0732697083148638,0.0159541276256039
-90,0,30,90,-90,1.69024532846427,1.04985386378725,0.321879327844452,0.18780503649603,0.0208672262773367
-90,0,30,90,-60,1.58041350346757,0.981089238748898,0.304099422797059,0.175601500385285,0.016729167597261
-90,0,30,90,-30,1.56101435909488,0.966475165501078,0.298695764453644,0.173446039899431,0.0154920953664707
-90,0,30,90,0,1.68428363525021,1.04508123129634,0.320658834791374,0.187142626138912,0.0213281883938029
-90,0,30,90,30,1.63337084427352,1.01670638424381,0.309762468405043,0.181485649363725,0.0123904987362017
-90,0,30,90,60,1.61826923095698,1.00547238210189,0.305183377253141,0.179807692328554,0.010701862139456
-90,0,30,90,90,1.69024532846427,1.04985386378725,0.321879327844452,0.18780503649603,0.0208672262773367
-90,0,60,-90,-90,1.59819371386869,0.960124569271077,0.294675151125497,0.177577079318743,0.0197307865909715
-90,0,60,-90,-60,1.49100992817709,0.896242909477641,0.277258905475294,0.165667769797454,0.0144397662268339
-90,0,60,-90,-30,1.49887675655187,0.899353425168417,0.28115223638139,0.166541861839096,0.0148104215806822
-90,0,60,-90,0,1.60014076642613,0.960871515732548,0.295418567137688,0.177793418491792,0.019609622770052
-90,0,60,-90,30,1.53584705864144,0.923311412033808,0.278988014446537,0.170649673182382,0.0107842718456934
-90,0,60,-90,60,1.54140666369516,0.925163869986204,0.282098049301782,0.17126740707724,0.0112839219720712
-90,0,60,-90,90,1.59819371386869,0.960124569271077,0.294675151125497,0.177577079318743,0.0197307865909715
-90,0,60,-60,-90,1.04101910731067,0.627726631567097,0.203335851387726,0.0870276687417695,0.0128520877445761
-90,0,60,-60,-60,0.988421523578199,0.596283728346305,0.194592255796958,0.0820557741154757,0.00911730823505286
-90,0,60,-60,-30,0.991529582703872,0.59752257983147,0.196751558579144,0.0817673127239888,0.00930302033374525
-90,0,60,-60,0,1.04151248131676,0.627910179755123,0.203571443283113,0.0870203603757547,0.0128144934643903
-90,0,60,-60,30,1.00370178013441,0.605529512466535,0.193210868801563,0.0849618865298904,0.00757345212176416
-90,0,60,-60,60,1.00603499333426,0.606246561533111,0.195076682711485,0.0846436763536023,0.00780306730845939
-90,0,60,-60,90,1.04101910731067,0.627726631567097,0.203335851387726,0.0870276687417695,0.0128520877445761
-90,0,60,-30,-90,1.08807176003012,0.651643974036143,0.223845231626428,0.0933734400215219,0.0134329846917299
-90,0,60,-30,-60,1.03041360792167,0.617820208510915,0.213520643474837,0.0878082729560453,0.00912544754322937
-90,0,60,-30,-30,1.0404357293847,0.623393698460967,0.217023183068917,0.0888709190968798,0.00987454656631998
-90,0,60,-30,0,1.08956412761235,0.652365345541896,0.223942613382452,0.0936335426812219,0.0133135784804468
-90,0,60,-30,30,1.04514965061458,0.625465399927515,0.211952788163204,0.0903322541177064,0.00773993387067997
-90,0,60,-30,60,1.05364775623795,0.630131030238681,0.215309840149269,0.0911276175492206,0.00861239360597075
-90,0,60,-30,90,1.08807176003012,0.651643974036143,0.223845231626428,0.0933734400215219,0.0134329846917299
-90,0,60,0,-90,1.61419664794485,0.966755269439591,0.29977424871374,0.177567294386864,0.0199283536783314
-90,0,60,0,-60,1.50428444438069,0.901708662807222,0.28158398360151,0.165619958474796,0.0144987357215654
-90,0,60,0,-30,1.5149140890626,0.906497574091116,0.285543560973137,0.166499554424899,0.0150450025544779
-90,0,60,0,0,1.61695297016025,0.967968264791413,0.30049574473339,0.177790089451484,0.0197544543834982
-90,0,60,0,30,1.5505616438786,0.928867592461829,0.284124324670868,0.170608333309316,0.0107720189397027
-90,0,60,0,60,1.55857330422099,0.932264049510337,0.287399855977137,0.171232172359042,0.0114959942390855
-90,0,60,0,90,1.61419664794485,0.966755269439591,0.29977424871374,0.177567294386864,0.0199283536783314
-90,0,60,30,-90,1.25511580877689,0.759130833746303,0.209446748059352,0.0753392799214168,0.0154952568984801
-90,0,60,30,-60,1.17455709985065,0.710749094105077,0.197734402049088,0.0712838703211176,0.0122746149976419
-90,0,60,30,-30,1.17658919649747,0.709779557432739,0.199831139427752,0.0710099243495999,0.0122777327089727
-90,0,60,30,0,1.25574712494304,0.758727971497451,0.210142005501565,0.0752351514268058,0.0154842443162745
-90,0,60,30,30,1.21991813717225,0.738742087183047,0.200855288755528,0.0726417932883112,0.00807131036536791
-90,0,60,30,60,1.22105215570059,0.737744657675666,0.202271595954882,0.0724162685650925,0.00809086383819527
-90,0,60,30,90,1.25511580877689,0.759130833746303,0.209446748059352,0.0753392799214168,0.0154952568984801
-90,0,60,60,-90,1.28156941901248,0.76375259949282,0.224562395949077,0.0808424625416678,0.0158218446791665
-90,0,60,60,-60,1.19793370818403,0.714504560833322,0.211720879475605,0.0762195166112177,0.0120854869676768
-90,0,60,60,-30,1.20717584476433,0.718106032689833,0.21536231016763,0.077530431660347,0.0125290325661148
-90,0,60,60,0,1.28462707043988,0.764930920861502,0.22549204612308,0.0811771366043089,0.0156108351196225
-90,0,60,60,30,1.24266341894526,0.740994243933119,0.214556995546626,0.0772405183967855,0.00803304741203665
-90,0,60,60,60,1.24890128304634,0.743178824031579,0.217307116343451,0.0782305618836424,0.00869228465373805
-90,0,60,60,90,1.28156941901248,0.76375259949282,0.224562395949077,0.0808424625416678,0.0158218446791665
-90,0,60,90,-90,1.59819371386869,0.960124569271077,0.294675151125497,0.177577079318743,0.0197307865909715
-90,0,60,90,-60,1.49100992817709,0.896242909477641,0.277258905475294,0.165667769797454,0.0144397662268339
-90,0,60,90,-30,1.49887675655187,0.899353425168417,0.28115223638139,0.166541861839096,0.0148104215806822
-90,0,60,90,0,1.60014076642613,0.960871515732548,0.295418567137688,0.177793418491792,0.019609622770052
-90,0,60,90,30,1.53584705864144,0.923311412033808,0.278988014446537,0.170649673182382,0.0107842718456934
-90,0,60,90,60,1.54140666369516,0.925163869986204,0.282098049301782,0.17126740707724,0.0112839219720712
-90,0,60,90,90,1.59819371386869,0.960124569271077,0.294675151125497,0.177577079318743,0.0197307865909715
-90,0,90,-90,-90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,-90,-60,4.6070248471521,2.78693163993424,1.42192124912102,0.511891649683566,0.0390459625341286
-90,0,90,-90,-30,4.60948851820635,2.78878176158104,1.42268164142171,0.512165390911816,0.0390380129657462
-90,0,90,-90,0,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,-90,30,4.60948851820635,2.78878176158104,1.42268164142171,0.512165390911816,0.0390380129657462
-90,0,90,-90,60,4.6070248471521,2.78693163993424,1.42192124912102,0.511891649683566,0.0390459625341286
-90,0,90,-90,90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,-60,-90,2.89819046464147,1.75198360103944,0.894503229827614,0.21090834108311,0.0357801291931045
-90,0,90,-60,-60,2.71924190258754,1.64341030892082,0.839272192156649,0.196348435553578,0.0218164928392864
-90,0,90,-60,-30,2.71612979189544,1.6427060754361,0.83831166416526,0.194708526470636,0.0215799021253526
-90,0,90,-60,0,2.89866167329951,1.7521657260488,0.894648664598615,0.211050267840613,0.0357584842050775
-90,0,90,-60,30,2.68218631269194,1.62084790497297,0.827835281695043,0.198299503410023,0.0241222870729951
-90,0,90,-60,60,2.67667285790631,1.61835567657044,0.826133598119232,0.196377245016763,0.0239215993826431
-90,0,90,-60,90,2.89819046464147,1.75198360103944,0.894503229827614,0.21090834108311,0.0357801291931045
-90,0,90,-30,-90,2.94749320929029,1.79174805828362,0.909720126324163,0.214953727369017,0.0363888050529665
-90,0,90,-30,-60,2.75856712857253,1.67739782252316,0.851409607584113,0.199393278270762,0.0211504878019624
-90,0,90,-30,-30,2.77577517259126,1.68959783355355,0.856720732281253,0.201159768538503,0.022351085393167
-90,0,90,-30,0,2.94497671041694,1.78984517425601,0.908943429141032,0.214860926185864,0.036527452535837
-90,0,90,-30,30,2.70749885665788,1.64358999438821,0.835647795264779,0.19889716482948,0.0243561482460313
-90,0,90,-30,60,2.72480698120969,1.65576736779477,0.840989809015338,0.200545468621228,0.0254304175914342
-90,0,90,-30,90,2.94749320929029,1.79174805828362,0.909720126324163,0.214953727369017,0.0363888050529665
-90,0,90,0,-90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,0,-60,4.607163439028,2.78699306150673,1.42196402439136,0.511896684766543,0.0390637149654739
-90,0,90,0,-30,4.60876427694814,2.78825687202365,1.42245811016918,0.512128813228834,0.0390581073523655
-90,0,90,0,0,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,0,30,4.60876427694814,2.78825687202365,1.42245811016918,0.512128813228834,0.0390581073523655
-90,0,90,0,60,4.607163439028,2.78699306150673,1.42196402439136,0.511896684766543,0.0390637149654739
-90,0,90,0,90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,30,-90,2.94749320929029,1.79174805828362,0.909720126324163,0.214953727369017,0.0363888050529665
-90,0,90,30,-60,2.72480698120969,1.65576736779477,0.840989809015338,0.200545468621228,0.0254304175914342
-90,0,90,30,-30,2.70749885665788,1.64358999438821,0.835647795264779,0.19889716482948,0.0243561482460313
-90,0,90,30,0,2.94497671041694,1.78984517425601,0.908943429141032,0.214860926185864,0.036527452535837
-90,0,90,30,30,2.77577517259126,1.68959783355355,0.856720732281253,0.201159768538503,0.022351085393167
-90,0,90,30,60,2.75856712857253,1.67739782252316,0.851409607584113,0.199393278270762,0.0211504878019624
-90,0,90,30,90,2.94749320929029,1.79174805828362,0.909720126324163,0.214953727369017,0.0363888050529665
-90,0,90,60,-90,2.89819046464147,1.75198360103944,0.894503229827614,0.21090834108311,0.0357801291931045
-90,0,90,60,-60,2.67667285790631,1.61835567657044,0.826133598119232,0.196377245016763,0.0239215993826431
-90,0,90,60,-30,2.68218631269194,1.62084790497297,0.827835281695043,0.198299503410023,0.0241222870729951
-90,0,90,60,0,2.89866167329951,1.7521657260488,0.894648664598615,0.211050267840613,0.0357584842050775
-90,0,90,60,30,2.71612979189544,1.6427060754361,0.83831166416526,0.194708526470636,0.0215799021253526
-90,0,90,60,60,2.71924190258754,1.64341030892082,0.839272192156649,0.196348435553578,0.0218164928392864
-90,0,90,60,90,2.89819046464147,1.75198360103944,0.894503229827614,0.21090834108311,0.0357801291931045
-90,0,90,90,-90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,90,-60,4.6070248471521,2.78693163993424,1.42192124912102,0.511891649683566,0.0390459625341286
-90,0,90,90,-30,4.60948851820635,2.78878176158104,1.42268164142171,0.512165390911816,0.0390380129657462
-90,0,90,90,0,5.0625,3.0625,1.5625,0.5625,0.0625
-90,0,90,90,30,4.60948851820635,2.78878176158104,1.42268164142171,0.512165390911816,0.0390380129657462
-90,0,90,90,60,4.6070248471521,2.78693163993424,1.42192124912102,0.511891649683566,0.0390459625341286
-90,0,90,90,90,5.0625,3.0625,1.5625,0.5625,0.0625
-90,30,-90,-90,-90,2.49312903142532,1.17523745002079,0.769484268958433,0.277014336825036,0.0307793707583373
-90,30,-90,-90,-60,2.23862414377987,1.05753135865039,0.690933377709837,0.248736015975541,0.0392511447124886
-90,30,-90,-90,-30,2.04558339059996,0.938630934899056,0.631352898333322,0.227287043399996,0.0326609304240115
-90,30,-90,-90,0,2.33504657407297,1.07466993701157,0.720693387059559,0.259449619341441,0.0400080489468315
-90,30,-90,-90,30,2.48407938035563,1.17481787897437,0.76669116677643,0.276008820039515,0.0239758750811096
-90,30,-90,-90,60,2.40773094599259,1.13293657441906,0.743126835182898,0.267525660665843,0.00797524078998711
-90,30,-90,-90,90,2.49312903142532,1.17523745002079,0.769484268958433,0.277014336825036,0.0307793707583373
